"","strain","lineage","serotype","temperature","nis_conc","nisin","day","replicate","MPN_CVT","note","elimination","nc","max_tmt","agegroup"
"55","FSL F2-0310","I","4b",4,250,"minus",1,1,2.41,NA,0,0,"no","4_250_1"
"56","FSL L3-0051","I","12b",4,250,"minus",1,1,2.41,NA,0,0,"no","4_250_1"
"57","FSL F2-0237","II","12a",4,250,"minus",1,1,2.41,NA,0,0,"no","4_250_1"
"58","FSL F2-0310","I","4b",4,250,"plus",1,1,0.37,NA,0,250,"yes","4_250_1"
"59","FSL L3-0051","I","12b",4,250,"plus",1,1,-1,"lower_limit",1,250,"yes","4_250_1"
"60","FSL F2-0237","II","12a",4,250,"plus",1,1,1.38,NA,0,250,"yes","4_250_1"
"61","FSL F2-0310","I","4b",4,250,"minus",15,1,6.97,NA,0,0,"no","4_250_1"
"62","FSL L3-0051","I","12b",4,250,"minus",15,1,5.76,NA,0,0,"no","4_250_1"
"63","FSL F2-0237","II","12a",4,250,"minus",15,1,4.8,NA,0,0,"no","4_250_1"
"64","FSL F2-0310","I","4b",4,250,"plus",15,1,0.37,NA,0,250,"yes","4_250_1"
"65","FSL L3-0051","I","12b",4,250,"plus",15,1,3.41,NA,0,250,"yes","4_250_1"
"66","FSL F2-0237","II","12a",4,250,"plus",15,1,-1,"lower_limit",1,250,"yes","4_250_1"
"67","FSL F2-0310","I","4b",4,250,"minus",30,1,8.53,NA,0,0,"no","4_250_1"
"68","FSL L3-0051","I","12b",4,250,"minus",30,1,9.03,NA,0,0,"no","4_250_1"
"69","FSL F2-0237","II","12a",4,250,"minus",30,1,8.95,NA,0,0,"no","4_250_1"
"70","FSL F2-0310","I","4b",4,250,"plus",30,1,-1,"lower_limit",1,250,"yes","4_250_1"
"71","FSL L3-0051","I","12b",4,250,"plus",30,1,7.25,NA,0,250,"yes","4_250_1"
"72","FSL F2-0237","II","12a",4,250,"plus",30,1,6.96,NA,0,250,"yes","4_250_1"
"73","FSL F2-0310","I","4b",7,25,"minus",1,2,2.79,"upper_limit",0,0,"no","7_25_2"
"74","FSL L3-0051","I","12b",7,25,"minus",1,2,2.12,NA,0,0,"no","7_25_2"
"75","FSL F2-0237","II","12a",7,25,"minus",1,2,2.41,NA,0,0,"no","7_25_2"
"76","FSL F2-0310","I","4b",7,25,"plus",1,2,2.79,"upper_limit",0,25,"no","7_25_2"
"77","FSL L3-0051","I","12b",7,25,"plus",1,2,-0.09,NA,0,25,"no","7_25_2"
"78","FSL F2-0237","II","12a",7,25,"plus",1,2,1.92,NA,0,25,"no","7_25_2"
"79","FSL F2-0310","I","4b",7,25,"minus",15,2,8.5,NA,0,0,"no","7_25_2"
"80","FSL L3-0051","I","12b",7,25,"minus",15,2,7.58,NA,0,0,"no","7_25_2"
"81","FSL F2-0237","II","12a",7,25,"minus",15,2,7.86,NA,0,0,"no","7_25_2"
"82","FSL F2-0310","I","4b",7,25,"plus",15,2,8.05,NA,0,25,"no","7_25_2"
"83","FSL L3-0051","I","12b",7,25,"plus",15,2,6.27,NA,0,25,"no","7_25_2"
"84","FSL F2-0237","II","12a",7,25,"plus",15,2,7.31,NA,0,25,"no","7_25_2"
"85","FSL F2-0310","I","4b",7,25,"minus",30,2,9.24,NA,0,0,"no","7_25_2"
"86","FSL L3-0051","I","12b",7,25,"minus",30,2,8.75,NA,0,0,"no","7_25_2"
"87","FSL F2-0237","II","12a",7,25,"minus",30,2,9.07,NA,0,0,"no","7_25_2"
"88","FSL F2-0310","I","4b",7,25,"plus",30,2,8.83,NA,0,25,"no","7_25_2"
"89","FSL L3-0051","I","12b",7,25,"plus",30,2,7.9,NA,0,25,"no","7_25_2"
"90","FSL F2-0237","II","12a",7,25,"plus",30,2,9,NA,0,25,"no","7_25_2"
"91","FSL F2-0310","I","4b",4,25,"minus",1,2,1.92,NA,0,0,"no","4_25_2"
"92","FSL L3-0051","I","12b",4,25,"minus",1,2,1.38,NA,0,0,"no","4_25_2"
"93","FSL F2-0237","II","12a",4,25,"minus",1,2,2.41,NA,0,0,"no","4_25_2"
"94","FSL F2-0310","I","4b",4,25,"plus",1,2,0.37,NA,0,25,"no","4_25_2"
"95","FSL L3-0051","I","12b",4,25,"plus",1,2,1.71,NA,0,25,"no","4_25_2"
"96","FSL F2-0237","II","12a",4,25,"plus",1,2,2.41,NA,0,25,"no","4_25_2"
"97","FSL F2-0310","I","4b",4,25,"minus",15,2,5.14,NA,0,0,"no","4_25_2"
"98","FSL L3-0051","I","12b",4,25,"minus",15,2,4.85,NA,0,0,"no","4_25_2"
"99","FSL F2-0237","II","12a",4,25,"minus",15,2,5.27,NA,0,0,"no","4_25_2"
"100","FSL F2-0310","I","4b",4,25,"plus",15,2,4.11,NA,0,25,"no","4_25_2"
"101","FSL L3-0051","I","12b",4,25,"plus",15,2,3.43,NA,0,25,"no","4_25_2"
"102","FSL F2-0237","II","12a",4,25,"plus",15,2,4.44,NA,0,25,"no","4_25_2"
"103","FSL F2-0310","I","4b",4,25,"minus",30,2,7.66,NA,0,0,"no","4_25_2"
"104","FSL L3-0051","I","12b",4,25,"minus",30,2,8.43,NA,0,0,"no","4_25_2"
"105","FSL F2-0237","II","12a",4,25,"minus",30,2,8.77,NA,0,0,"no","4_25_2"
"106","FSL F2-0310","I","4b",4,25,"plus",30,2,6.92,NA,0,25,"no","4_25_2"
"107","FSL L3-0051","I","12b",4,25,"plus",30,2,7.04,NA,0,25,"no","4_25_2"
"108","FSL F2-0237","II","12a",4,25,"plus",30,2,8.07,NA,0,25,"no","4_25_2"
"109","FSL F2-0310","I","4b",7,250,"minus",1,2,2.79,NA,0,0,"no","7_250_2"
"110","FSL L3-0051","I","12b",7,250,"minus",1,2,0.91,NA,0,0,"no","7_250_2"
"111","FSL F2-0237","II","12a",7,250,"minus",1,2,1.71,NA,0,0,"no","7_250_2"
"112","FSL F2-0310","I","4b",7,250,"plus",1,2,0.91,NA,0,250,"yes","7_250_2"
"113","FSL L3-0051","I","12b",7,250,"plus",1,2,-1,"lower_limit",1,250,"yes","7_250_2"
"114","FSL F2-0237","II","12a",7,250,"plus",1,2,0.11,NA,0,250,"yes","7_250_2"
"115","FSL F2-0310","I","4b",7,250,"minus",15,2,8.7,NA,0,0,"no","7_250_2"
"116","FSL L3-0051","I","12b",7,250,"minus",15,2,5.66,NA,0,0,"no","7_250_2"
"117","FSL F2-0237","II","12a",7,250,"minus",15,2,7.69,NA,0,0,"no","7_250_2"
"118","FSL F2-0310","I","4b",7,250,"plus",15,2,2.41,NA,0,250,"yes","7_250_2"
"119","FSL L3-0051","I","12b",7,250,"plus",15,2,-1,"lower_limit",1,250,"yes","7_250_2"
"120","FSL F2-0237","II","12a",7,250,"plus",15,2,-1,"lower_limit",1,250,"yes","7_250_2"
"121","FSL F2-0310","I","4b",7,250,"minus",30,2,9.34,NA,0,0,"no","7_250_2"
"122","FSL L3-0051","I","12b",7,250,"minus",30,2,8.14,NA,0,0,"no","7_250_2"
"123","FSL F2-0237","II","12a",7,250,"minus",30,2,9.01,NA,0,0,"no","7_250_2"
"124","FSL F2-0310","I","4b",7,250,"plus",30,2,6.76,NA,0,250,"yes","7_250_2"
"125","FSL L3-0051","I","12b",7,250,"plus",30,2,-1,"lower_limit",1,250,"yes","7_250_2"
"126","FSL F2-0237","II","12a",7,250,"plus",30,2,7.51,NA,0,250,"yes","7_250_2"
"127","FSL F2-0310","I","4b",4,250,"minus",1,2,2.41,NA,0,0,"no","4_250_2"
"128","FSL L3-0051","I","12b",4,250,"minus",1,2,1.38,NA,0,0,"no","4_250_2"
